kod	ad
060928	Ftiziatriya
060929	Patoloji anatomiya, məhkəmə-tibbi ekspertiza
060930	Pediatriya
060931	Şüa terapiyası
060932	Şüa diaqnostikası
060933	Stomatologiya
060934	Üz-çənə cərrahiyyəsi
060935	Sosial gigiyena və səhiyyənin təşkili
060936	Gigiyena
060937	Tibbi mikrobiologiya
060938	Laboratoriya işi
060939	Tibbi genetika
060940	Epidemiologiya
060941	Ailə təbabəti
060942	Nüvə təbabəti
060943	Endodontiya
060944	Parodontologiya
060945	Restorativ stomatologiya
060946	Ortopedik stomatologiya
060947	Uşaq stomatologiyası
060948	Ortodontiya
060949	Uşaq və yeniyetmə psixiatriyası
060950	Neonatologiya
060951	Uşaq endokrinologiyası
060952	Uşaq kardiologiyası
060953	Uşaq nefrologiyası
060954	Uşaq nevrologiyası
060955	Uşaq qastroenterologiyası
060956	Uşaq urologiyası
060957	Uşaq yoluxucu xəstəlikləri
060958	Uşaq ürək-damar cərrahiyyəsi
