kod	ad
7003003	Dekorativ-tətbiqi sənət
7003004	Dirijorluq
7003005	Dizayn
7003006	Ədəbi yaradıcılıq və ekran dramaturgiyası
7003007	Heykəltəraşlıq
7003008	Xoreoqrafiya sənəti
7003009	İnstrumental ifaçılıq
7003010	Qrafika
7003011	Musiqişünaslıq
7003012	Muzey, arxiv işi və abidələrin qorunması
7003013	Operator sənəti
7003014	Populyar musiqi və caz ifaçılığı
7003015	Rejissorluq
7003016	Rəngkarlıq
7003017	Sənətşünaslıq
7003018	Vokal sənəti
7004001	Beynəlxalq ticarət və logistika
7004002	Biznesin idarə edilməsi
7004003	Biznesin təşkili və idarə edilməsi (MBA)
7004004	Dövlət və bələdiyyə idarəetməsi
7004005	İqtisadiyyat
7004006	Maliyyə
7004007	Marketinq
7004008	Menecment
7004009	Mühasibat
7005001	Biologiya
7005002	Biotexnologiya
7005003	Coğrafiya
7005004	Ekologiya
7005005	Fizika
7005006	Geologiya
7005007	Hidrometeorologiya
7005008	Kimya
7005009	Kompüter elmləri
7005010	Mexanika
7005011	Riyaziyyat
7005012	Statistika
7005013	Su bioehtiyatları və akvakultura
7006001	Aerokosmik mühəndislik
7006002	Aqromühəndislik
7006003	Aviasiya təhlükəsizliyi mühəndisliyi
7006004	Cihaz mühəndisliyi
7006005	Data elmləri
7006006	Dəniz naviqasiyası mühəndisliyi
7006007	Ekologiya mühəndisliyi
7006008	Elektrik və elektronika mühəndisliyi
7006009	Energetika mühəndisliyi
7006010	Geologiya və geofizika mühəndisliyi
7006011	Geomatika və geodeziya mühəndisliyi
7006012	Gəmi energetik qurğularının istismarı mühəndisliyi
7006013	Gəmiqayırma və gəmi təmiri mühəndisliyi
7006014	Hava nəqliyyatının hərəkətinin təşkili
7006015	Həyat fəaliyyətinin təhlükəsizliyi mühəndisliyi
7006016	İnformasiya texnologiyaları
7006017	İnformasiya təhlükəsizliyi
7006018	İnşaat mühəndisliyi
7006019	Kənd təsərrüfatı texnologiyaları
7006020	Kimya mühəndisliyi
7006021	Kommunikasiya sistemləri mühəndisliyi
7006022	Kompüter mühəndisliyi
7006023	Qida mühəndisliyi
7006024	Logistika və nəqliyyat texnologiyaları mühəndisliyi
7006025	Maşın mühəndisliyi
7006026	Materiallar mühəndisliyi
7006027	Mexanika mühəndisliyi
7006028	Mexatronika və robototexnika mühəndisliyi
7006029	Meliorasiya mühəndisliyi
7006030	Memarlıq
7006031	Metallurgiya mühəndisliyi
7006032	Mədən mühəndisliyi
7006033	Mühəndislik fizikası
7006034	Neft-qaz mühəndisliyi
7006035	Nəqliyyat mühəndisliyi
7006036	Nəqliyyat tikintisi mühəndisliyi
7006037	Proqram təminatı mühəndisliyi
7006038	Proseslərin avtomatlaşdırılması mühəndisliyi
7006039	Radiotexnika və telekommunikasiya mühəndisliyi
7006040	Sənaye mühəndisliyi
7006041	Şəhərsalma
7006042	Şərabçılıq
7006043	Uçuş mühəndisliyi
7006044	Yanğın təhlükəsizliyi mühəndisliyi
7007001	Aqronomluq
7007002	Bağçılıq və tərəvəzçilik
7007003	Balıqçılıq
7007004	Baytarlıq təbabəti
7007005	Bitki mühafizəsi
7007006	Heyvandarlıq elmləri
7007007	Meşəçilik
7007008	Torpaqşünaslıq və aqrokimya
7007009	Yerquruluşu və daşınmaz əmlakın kadastrı
7007010	Zoomühəndislik
7008001	Məşqçilik
7008002	Nəqliyyatda servis
7008003	Sosial iş
7008004	Turizm və otelçilik
7009001	Əczaçılıq
7009002	Fizioterapiya
7009003	İctimai səhiyyə
7009004	İdman tibbi
7009005	Qidalanma və diyetologiya
7009006	Tibb bacısı (qardaşı) işi
7010001	Dövlət təhlükəsizliyi və idarəetmə
7010002	Hərbi və dövlət müdafiəsini idarəetmə
7010003	Xüsusi rabitə vasitələri mühəndisliyi
7010004	İctimai təhlükəsizlik və idarəetmə
7010005	Sərhəd təhlükəsizliyi və idarəetmə
7010006	Silah sistemləri mühəndisliyi
7010007	Sistemlər mühəndisliyi
7100001	Ağız, üz və çənə cərrahiyyəsi
7100002	Ailə təbabəti
7100003	Anesteziologiya-reanimatologiya
7100004	Aviasiya təbabəti
7100005	Daxili xəstəliklər
7100006	Dermatovenerologiya
7100007	Endodontiya
7100008	Fizioterapiya və tibbi reabilitasiya
7100009	İdman təbabəti
7100010	Kardiologiya
7100011	Mamalıq-ginekologiya
7100012	Məhkəmə-tibbi ekspertiza
7100013	Nevrologiya
7100014	Neyrocərrahiyyə
7100015	Nüvə təbabəti
7100016	Oftalmologiya
7100017	Oral patologiya
7100018	Oral radiologiya
7100019	Ortodontiya
7100020	Ortopedik stomatologiya
7100021	Ortopediya və travmatologiya
7100022	Otorinolarinqologiya
7100023	Parodontologiya
7100024	Pediatriya
7100025	Plastik, rekonstruktiv və estetik cərrahiyyə
7100026	Psixiatriya
7100027	Pulmonologiya
7100028	Radiologiya
7100029	Restorativ stomatologiya
7100030	Sualtı və hiperbarik təbabət
7100031	Şüa onkologiyası
7100032	Təcili tibb
7100033	Tibbi biokimya
7100034	Tibbi genetika
7100035	Tibbi mikrobiologiya
7100036	Tibbi patologiya
7100037	Torakal cərrahiyyə
7100038	Urologiya
7100039	Uşaq cərrahiyyəsi
7100040	Uşaq stomatologiyası
7100042	Ümumi cərrahiyyə
7100043	Ürək-damar cərrahiyyəsi
7100044	Yoluxucu xəstəliklər və klinik mikrobiologiya
